project_group	10-29	30-149	150-599	600-1199	1200+
arwiki	18.0	53.0	59.0	29.0	109.0
asia_wps	12.0	18.0	75.0	54.0	126.0
cee_wps	137.0	512.0	631.0	318.0	1000.0
commons	116.0	422.0	502.0	260.0	1378.0
dewiki	73.0	540.0	640.0	320.0	650.0
enwiki	544.0	1480.0	850.0	400.0	636.0
eswiki	75.0	309.0	363.0	161.0	364.0
frwiki	127.0	568.0	549.0	235.0	653.0
itwiki	45.0	227.0	267.0	107.0	324.0
jawiki	103.0	499.0	441.0	135.0	239.0
kowiki	10.0	40.0	44.0	16.0	81.0
malay_wps	13.0	96.0	113.0	42.0	121.0
meaf_wps	80.0	356.0	395.0	206.0	580.0
metawiki	3.0	9.0	35.0	34.0	63.0
nlwiki	23.0	136.0	120.0	61.0	184.0
other	7.0	113.0	163.0	107.0	407.0
ptwiki	38.0	147.0	146.0	60.0	165.0
ruwiki	70.0	371.0	358.0	204.0	496.0
sasia_wps	17.0	85.0	93.0	59.0	168.0
viwiki	12.0	62.0	49.0	23.0	64.0
weur_wps	50.0	257.0	341.0	173.0	562.0
wikidata	22.0	80.0	107.0	65.0	297.0
zhwiki	45.0	313.0	310.0	140.0	322.0
